mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-24-6tgu-s0-n100-0001,1.0,1.0,1.0,1.0,1,1,0.0,2.6598,2.6598,437
2026-08-24-6tgu-s0-n100-0002,0.8,0.8,0.941176,0.941176,1,1,0.0,2.751,2.751,454
2026-08-24-6tgu-s0-n100-0003,0.8,0.8,0.888889,0.888889,1,1,0.0,2.8419,2.8419,480
2026-08-24-6tgu-s0-n100-0004,1.0,1.0,1.0,1.0,1,1,0.0,2.4946,2.4946,471
2026-08-24-6tgu-s0-n100-0005,0.8,0.8,0.833333,0.833333,1,1,0.0,2.7907,2.7907,456
2026-08-24-6tgu-s0-n100-0006,0.6,0.6,0.833333,0.833333,1,1,0.0,2.6264,2.6264,449
2026-08-24-6tgu-s0-n100-0007,0.8,0.8,0.941176,0.941176,1,1,0.0,2.402,2.402,465
2026-08-24-6tgu-s0-n100-0008,0.6,0.6,0.882353,0.882353,1,1,0.0,1.9735,1.9735,405
2026-08-24-6tgu-s0-n100-0009,0.8,0.8,0.833333,0.833333,1,1,0.0,2.9941,2.9941,458
2026-08-24-6tgu-s0-n100-0010,0.8,0.8,0.833333,0.833333,1,1,0.0,2.8676,2.8676,487
2026-08-24-6tgu-s0-n100-0011,0.6,0.6,0.882353,0.882353,1,1,0.0,1.5909,1.5909,399
2026-08-24-6tgu-s0-n100-0012,0.8,0.8,0.941176,0.941176,1,1,0.0,1.7221,1.7221,446
2026-08-24-6tgu-s0-n100-0013,0.8,0.8,0.882353,0.882353,1,1,0.0,2.629,2.629,436
2026-08-24-6tgu-s0-n100-0014,0.6,0.6,0.823529,0.823529,1,1,0.0,2.6613,2.6613,461
2026-08-24-6tgu-s0-n100-0015,0.4,0.4,0.705882,0.705882,1,1,0.0,1.5544,1.5544,403
2026-08-24-6tgu-s0-n100-0016,0.6,0.6,0.647059,0.647059,1,1,0.0,1.3808,1.3808,412
2026-08-24-6tgu-s0-n100-0017,0.4,0.4,0.705882,0.705882,1,1,0.0,1.8357,1.8357,453
2026-08-24-6tgu-s0-n100-0018,0.6,0.6,0.722222,0.722222,1,1,0.0,2.4334,2.4334,420
2026-08-24-6tgu-s0-n100-0019,0.8,0.8,0.941176,0.941176,1,1,0.0,1.7771,1.7771,406
2026-08-24-6tgu-s0-n100-0020,1.0,1.0,0.941176,0.941176,1,1,0.0,1.6739,1.6739,399
2026-08-24-6tgu-s0-n100-0021,0.4,0.4,0.529412,0.529412,1,1,0.0,1.4561,1.4561,356
2026-08-24-6tgu-s0-n100-0022,0.8,0.8,0.882353,0.882353,1,1,0.0,1.4982,1.4982,398
2026-08-24-6tgu-s0-n100-0023,0.6,0.6,0.666667,0.666667,1,1,0.0,2.074,2.074,383
2026-08-24-6tgu-s0-n100-0024,0.6,0.6,0.764706,0.764706,1,1,0.0,1.4713,1.4713,410
2026-08-24-6tgu-s0-n100-0025,0.4,0.4,0.705882,0.705882,1,1,0.0,2.1327,2.1327,423
2026-08-24-6tgu-s0-n100-0026,1.0,1.0,0.941176,0.941176,1,1,0.0,1.9002,1.9002,280
2026-08-24-6tgu-s0-n100-0027,0.4,0.4,0.722222,0.722222,1,1,0.0,2.2811,2.2811,373
2026-08-24-6tgu-s0-n100-0028,0.6,0.6,0.882353,0.882353,1,1,0.0,1.6375,1.6375,363
2026-08-24-6tgu-s0-n100-0029,0.6,0.6,0.666667,0.666667,1,1,0.0,2.2001,2.2001,375
2026-08-24-6tgu-s0-n100-0030,0.6,0.6,0.764706,0.764706,1,1,0.0,1.613,1.613,300
2026-08-24-6tgu-s0-n100-0031,0.2,0.2,0.611111,0.611111,0,0,0.0,1.7136,1.7136,338
2026-08-24-6tgu-s0-n100-0032,0.8,0.8,0.823529,0.823529,1,1,0.0,1.7409,1.7409,326
2026-08-24-6tgu-s0-n100-0033,0.4,0.4,0.647059,0.647059,1,1,0.0,1.0848,1.0848,414
2026-08-24-6tgu-s0-n100-0034,0.6,0.6,0.705882,0.705882,1,1,0.0,1.489,1.489,351
2026-08-24-6tgu-s0-n100-0035,0.0,0.0,0.444444,0.444444,0,0,0.0,0.8983,0.8983,337
2026-08-24-6tgu-s0-n100-0036,0.2,0.2,0.555556,0.555556,0,0,0.0,1.8398,1.8398,193
2026-08-24-6tgu-s0-n100-0037,0.6,0.6,0.666667,0.666667,1,1,0.0,0.3775,0.3775,513
2026-08-24-6tgu-s0-n100-0038,0.6,0.6,0.764706,0.764706,1,1,0.0,1.3823,1.3823,384
2026-08-24-6tgu-s0-n100-0039,0.4,0.4,0.611111,0.611111,0,0,0.0,1.7242,1.7242,442
2026-08-24-6tgu-s0-n100-0040,0.8,0.8,0.823529,0.823529,1,1,0.0,1.2171,1.2171,421
2026-08-24-6tgu-s0-n100-0041,0.2,0.2,0.611111,0.611111,0,0,0.0,1.9311,1.9311,333
2026-08-24-6tgu-s0-n100-0042,0.0,0.0,0.555556,0.555556,0,0,0.0,0.6035,0.6035,381
2026-08-24-6tgu-s0-n100-0043,0.2,0.2,0.578947,0.578947,0,0,0.0,1.9034,1.9034,342
2026-08-24-6tgu-s0-n100-0044,0.2,0.2,0.555556,0.555556,0,0,0.0,0.6448,0.6448,432
2026-08-24-6tgu-s0-n100-0045,0.2,0.2,0.5,0.5,0,0,0.0,1.3693,1.3693,429
2026-08-24-6tgu-s0-n100-0046,0.4,0.4,0.555556,0.555556,0,0,0.0,1.1306,1.1306,337
2026-08-24-6tgu-s0-n100-0047,0.6,0.6,0.631579,0.631579,1,1,0.0,0.8344,0.8344,325
2026-08-24-6tgu-s0-n100-0048,0.2,0.2,0.588235,0.588235,0,0,0.0,1.3559,1.3559,414
2026-08-24-6tgu-s0-n100-0049,0.2,0.2,0.611111,0.611111,0,0,0.0,0.9109,0.9109,422
2026-08-24-6tgu-s0-n100-0050,0.6,0.6,0.666667,0.666667,1,1,0.0,1.6281,1.6281,355
2026-08-24-6tgu-s0-n100-0051,0.2,0.2,0.526316,0.526316,0,0,0.0,0.2221,0.2221,541
2026-08-24-6tgu-s0-n100-0052,0.2,0.2,0.473684,0.473684,0,0,0.0,1.3227,1.3227,206
2026-08-24-6tgu-s0-n100-0053,0.2,0.2,0.5,0.5,0,0,0.0,1.1516,1.1516,317
2026-08-24-6tgu-s0-n100-0054,0.4,0.4,0.526316,0.526316,0,0,0.0,0.5869,0.5869,479
2026-08-24-6tgu-s0-n100-0055,0.2,0.2,0.529412,0.529412,0,0,0.0,1.3107,1.3107,483
2026-08-24-6tgu-s0-n100-0056,0.2,0.2,0.555556,0.555556,0,0,0.0,1.1034,1.1034,369
2026-08-24-6tgu-s0-n100-0057,0.0,0.0,0.35,0.35,0,0,0.0,0.66,0.66,300
2026-08-24-6tgu-s0-n100-0058,0.4,0.4,0.55,0.55,1,1,0.0,0.3677,0.3677,486
